timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1686063259998,1118,/LoadRunner_Correlation_Challenge_Exp.aspx-1,200,OK,jp@gc - Stepping Thread Group 1-1,text,true,,13298,393,2,2,http://loadrunnertips.com/LoadRunner_Correlation_Challenge_Exp.aspx,1116,0,521
1686063261131,282,/favicon.ico-3,200,OK,jp@gc - Stepping Thread Group 1-1,bin,true,,1461,351,2,2,http://loadrunnertips.com/favicon.ico,282,0,0
1686063259841,1400,Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Stepping Thread Group 1-1,,true,,14759,744,2,2,null,1398,172,521
1686063261414,408,/LoadRunner_Correlation_Challenge_Exp.aspx-14,200,OK,jp@gc - Stepping Thread Group 1-1,text,true,,11496,850,2,2,http://loadrunnertips.com/LoadRunner_Correlation_Challenge_Exp.aspx,407,0,0
1686063261414,408,Click Start,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Stepping Thread Group 1-1,,true,,11496,850,2,2,null,407,6,0
1686063260840,1079,/LoadRunner_Correlation_Challenge_Exp.aspx-1,200,OK,jp@gc - Stepping Thread Group 1-2,text,true,,13298,393,3,3,http://loadrunnertips.com/LoadRunner_Correlation_Challenge_Exp.aspx,1078,0,568
1686063261928,514,/favicon.ico-3,200,OK,jp@gc - Stepping Thread Group 1-2,bin,true,,1461,351,3,3,http://loadrunnertips.com/favicon.ico,514,0,0
1686063260838,1593,Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Stepping Thread Group 1-2,,true,,14759,744,3,3,null,1592,12,568
1686063261829,613,/LoadRunner_Correlation_Challenge_Exp.aspx-36,200,OK,jp@gc - Stepping Thread Group 1-1,text,true,,14128,956,3,3,http://loadrunnertips.com/LoadRunner_Correlation_Challenge_Exp.aspx,612,0,0
1686063261828,613,Enter_City_Name,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Stepping Thread Group 1-1,,true,,14128,956,3,3,null,612,4,0
1686063262446,501,/LoadRunner_Correlation_Challenge_Exp.aspx-58,200,OK,jp@gc - Stepping Thread Group 1-1,text,true,,10869,997,4,4,http://loadrunnertips.com/LoadRunner_Correlation_Challenge_Exp.aspx,501,0,0
1686063262446,501,Enter_Number,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Stepping Thread Group 1-1,,true,,10869,997,4,4,null,501,1,0
1686063262443,506,/LoadRunner_Correlation_Challenge_Exp.aspx-14,200,OK,jp@gc - Stepping Thread Group 1-2,text,true,,11496,850,4,4,http://loadrunnertips.com/LoadRunner_Correlation_Challenge_Exp.aspx,503,0,0
1686063262443,506,Click Start,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Stepping Thread Group 1-2,,true,,11496,850,4,4,null,503,1,0
1686063261840,2878,/LoadRunner_Correlation_Challenge_Exp.aspx-1,200,OK,jp@gc - Stepping Thread Group 1-3,text,true,,13298,393,5,5,http://loadrunnertips.com/LoadRunner_Correlation_Challenge_Exp.aspx,1618,0,601
1686063262952,1786,/LoadRunner_Correlation_Challenge_Exp.aspx-36,200,OK,jp@gc - Stepping Thread Group 1-2,text,true,,14128,954,5,5,http://loadrunnertips.com/LoadRunner_Correlation_Challenge_Exp.aspx,1786,0,0
1686063262952,1786,Enter_City_Name,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Stepping Thread Group 1-2,,true,,14128,954,5,5,null,1786,2,0
1686063264724,291,/favicon.ico-3,200,OK,jp@gc - Stepping Thread Group 1-3,bin,true,,1461,351,5,5,http://loadrunnertips.com/favicon.ico,291,0,0
1686063261839,3169,Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Stepping Thread Group 1-3,,true,,14759,744,5,5,null,1909,7,601
1686063262840,2188,/LoadRunner_Correlation_Challenge_Exp.aspx-1,200,OK,jp@gc - Stepping Thread Group 1-4,text,true,,13298,393,5,5,http://loadrunnertips.com/LoadRunner_Correlation_Challenge_Exp.aspx,2187,0,1880
1686063263841,1246,/LoadRunner_Correlation_Challenge_Exp.aspx-1,200,OK,jp@gc - Stepping Thread Group 1-5,text,true,,13298,393,5,5,http://loadrunnertips.com/LoadRunner_Correlation_Challenge_Exp.aspx,1245,0,896
1686063264740,378,/LoadRunner_Correlation_Challenge_Exp.aspx-58,200,OK,jp@gc - Stepping Thread Group 1-2,text,true,,10869,997,5,5,http://loadrunnertips.com/LoadRunner_Correlation_Challenge_Exp.aspx,378,0,0
1686063264740,378,Enter_Number,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Stepping Thread Group 1-2,,true,,10869,997,5,5,null,378,1,0
1686063265016,362,/LoadRunner_Correlation_Challenge_Exp.aspx-14,200,OK,jp@gc - Stepping Thread Group 1-3,text,true,,11496,850,5,5,http://loadrunnertips.com/LoadRunner_Correlation_Challenge_Exp.aspx,328,0,0
1686063265016,362,Click Start,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Stepping Thread Group 1-3,,true,,11496,850,5,5,null,328,1,0
1686063265033,349,/favicon.ico-3,200,OK,jp@gc - Stepping Thread Group 1-4,bin,true,,1461,351,5,5,http://loadrunnertips.com/favicon.ico,349,0,0
1686063262838,2537,Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Stepping Thread Group 1-4,,true,,14759,744,5,5,null,2536,7,1880
1686063265383,375,/LoadRunner_Correlation_Challenge_Exp.aspx-14,200,OK,jp@gc - Stepping Thread Group 1-4,text,true,,11496,850,5,5,http://loadrunnertips.com/LoadRunner_Correlation_Challenge_Exp.aspx,374,0,0
1686063265383,375,Click Start,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Stepping Thread Group 1-4,,true,,11496,850,5,5,null,374,2,0
1686063265380,380,/LoadRunner_Correlation_Challenge_Exp.aspx-36,200,OK,jp@gc - Stepping Thread Group 1-3,text,true,,14129,956,5,5,http://loadrunnertips.com/LoadRunner_Correlation_Challenge_Exp.aspx,379,0,0
1686063265379,380,Enter_City_Name,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Stepping Thread Group 1-3,,true,,14129,956,5,5,null,379,2,0
1686063262952,3003,/g/collect?v=2&tid=G-XQRC4QQ389&gtm=45je35v0&_p=313445955&cid=899822427.1685618745&ul=en-us&sr=1280x720&_eu=ABA&ngs=1&_s=1&sid=1685618747&sct=1&seg=1&dl=http%3A%2F%2Floadrunnertips.com%2FLoadRunner_Correlation_Challenge_Exp.aspx&dr=http%3A%2F%2Floadrunnertips.com%2FLoadRunner_Correlation_Challenge_Exp.aspx&dt=LoadRunner%3ACorrelation%20Challenge&en=page_view&_ee=1-77,204,No Content,jp@gc - Stepping Thread Group 1-1,text,true,,432,847,5,5,https://www.google-analytics.com/g/collect?v=2&tid=G-XQRC4QQ389&gtm=45je35v0&_p=313445955&cid=899822427.1685618745&ul=en-us&sr=1280x720&_eu=ABA&ngs=1&_s=1&sid=1685618747&sct=1&seg=1&dl=http%3A%2F%2Floadrunnertips.com%2FLoadRunner_Correlation_Challenge_Exp.aspx&dr=http%3A%2F%2Floadrunnertips.com%2FLoadRunner_Correlation_Challenge_Exp.aspx&dt=LoadRunner%3ACorrelation%20Challenge&en=page_view&_ee=1,0,0,2914
1686063265121,859,/g/collect?v=2&tid=G-XQRC4QQ389&gtm=45je35v0&_p=313445955&cid=899822427.1685618745&ul=en-us&sr=1280x720&_eu=ABA&ngs=1&_s=1&sid=1685618747&sct=1&seg=1&dl=http%3A%2F%2Floadrunnertips.com%2FLoadRunner_Correlation_Challenge_Exp.aspx&dr=http%3A%2F%2Floadrunnertips.com%2FLoadRunner_Correlation_Challenge_Exp.aspx&dt=LoadRunner%3ACorrelation%20Challenge&en=page_view&_ee=1-77,204,No Content,jp@gc - Stepping Thread Group 1-2,text,true,,432,847,5,5,https://www.google-analytics.com/g/collect?v=2&tid=G-XQRC4QQ389&gtm=45je35v0&_p=313445955&cid=899822427.1685618745&ul=en-us&sr=1280x720&_eu=ABA&ngs=1&_s=1&sid=1685618747&sct=1&seg=1&dl=http%3A%2F%2Floadrunnertips.com%2FLoadRunner_Correlation_Challenge_Exp.aspx&dr=http%3A%2F%2Floadrunnertips.com%2FLoadRunner_Correlation_Challenge_Exp.aspx&dt=LoadRunner%3ACorrelation%20Challenge&en=page_view&_ee=1,0,0,746
1686063265762,298,/LoadRunner_Correlation_Challenge_Exp.aspx-58,200,OK,jp@gc - Stepping Thread Group 1-3,text,true,,10869,997,5,5,http://loadrunnertips.com/LoadRunner_Correlation_Challenge_Exp.aspx,297,0,0
1686063265761,298,Enter_Number,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Stepping Thread Group 1-3,,true,,10869,997,5,5,null,297,1,0
1686063265761,306,/LoadRunner_Correlation_Challenge_Exp.aspx-36,200,OK,jp@gc - Stepping Thread Group 1-4,text,true,,14128,962,5,5,http://loadrunnertips.com/LoadRunner_Correlation_Challenge_Exp.aspx,305,0,0
1686063265760,306,Enter_City_Name,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Stepping Thread Group 1-4,,true,,14128,962,5,5,null,305,3,0
1686063265956,470,/LoadRunner_Correlation_Challenge_Exp.aspx-81,200,OK,jp@gc - Stepping Thread Group 1-1,text,true,,13340,460,5,5,http://loadrunnertips.com/LoadRunner_Correlation_Challenge_Exp.aspx?RQM=1730587324&RND=0.6137211425864013,470,0,0
1686063262949,3473,Click_Next,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Stepping Thread Group 1-1,,true,,13772,1307,5,5,null,470,5,2914
1686063265981,459,/LoadRunner_Correlation_Challenge_Exp.aspx-81,200,OK,jp@gc - Stepping Thread Group 1-2,text,true,,13340,460,5,5,http://loadrunnertips.com/LoadRunner_Correlation_Challenge_Exp.aspx?RQM=1730587324&RND=0.6137211425864013,452,0,0
1686063265119,1318,Click_Next,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Stepping Thread Group 1-2,,true,,13772,1307,5,5,null,452,4,746
1686063266063,378,/g/collect?v=2&tid=G-XQRC4QQ389&gtm=45je35v0&_p=313445955&cid=899822427.1685618745&ul=en-us&sr=1280x720&_eu=ABA&ngs=1&_s=1&sid=1685618747&sct=1&seg=1&dl=http%3A%2F%2Floadrunnertips.com%2FLoadRunner_Correlation_Challenge_Exp.aspx&dr=http%3A%2F%2Floadrunnertips.com%2FLoadRunner_Correlation_Challenge_Exp.aspx&dt=LoadRunner%3ACorrelation%20Challenge&en=page_view&_ee=1-77,204,No Content,jp@gc - Stepping Thread Group 1-3,text,true,,432,847,5,5,https://www.google-analytics.com/g/collect?v=2&tid=G-XQRC4QQ389&gtm=45je35v0&_p=313445955&cid=899822427.1685618745&ul=en-us&sr=1280x720&_eu=ABA&ngs=1&_s=1&sid=1685618747&sct=1&seg=1&dl=http%3A%2F%2Floadrunnertips.com%2FLoadRunner_Correlation_Challenge_Exp.aspx&dr=http%3A%2F%2Floadrunnertips.com%2FLoadRunner_Correlation_Challenge_Exp.aspx&dt=LoadRunner%3ACorrelation%20Challenge&en=page_view&_ee=1,0,0,170
1686063266070,376,/LoadRunner_Correlation_Challenge_Exp.aspx-58,200,OK,jp@gc - Stepping Thread Group 1-4,text,true,,10869,997,5,5,http://loadrunnertips.com/LoadRunner_Correlation_Challenge_Exp.aspx,376,0,0
1686063266069,376,Enter_Number,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Stepping Thread Group 1-4,,true,,10869,997,5,5,null,376,1,0
